"Søndervej 4, Brobyværk, 5672 Broby"
"Vesterågade 9, Nr Broby, 5672 Broby"
"Østergade 110A, Allested, 5672 Broby"
"Allerupvej 27, Allerup, 5672 Broby"
"Broholmvej 1, Vejle, 5672 Broby"
"Egevej 2, V Hæsinge, 5672 Broby"
"Gl. Stenderupvej 15, Gl Stenderup, 5672 Broby"
"Kastanievej 17, Sdr Broby, 5672 Broby"
"Marsk Billesvej 15, Brobyværk, 5672 Broby"
"Nørregade 20, Sh Lyndelse, 5672 Broby"
"Rosenvænget 55, Nr Broby, 5672 Broby"
"Vesterågade 10, Nr Broby, 5672 Broby"
"Østergade 110B, Allested, 5672 Broby"
"Allerupvej 28, Allerup, 5672 Broby"
"Broholmvej 2, Vejle, 5672 Broby"
"Egevej 3, V Hæsinge, 5672 Broby"
"Gl. Stenderupvej 16, Gl Stenderup, 5672 Broby"
"Kastanievej 19, Sdr Broby, 5672 Broby"
"Rosenvænget 57, Nr Broby, 5672 Broby"
"Stationsvej 17, Nr Broby, 5672 Broby"
"Søndervej 6, Brobyværk, 5672 Broby"
"Vesterågade 10A, Nr Broby, 5672 Broby"
"Østergade 111, Allested, 5672 Broby"
