"Brogade 7E, st., 4600 Køge"
"Morelhaven 34, 4600 Køge"
"Morelhaven 35, 4600 Køge"
"Morelhaven 36, 4600 Køge"
"Morelhaven 37, 4600 Køge"
"Morelhaven 38, 4600 Køge"
"Morelhaven 39, 4600 Køge"
"Morelhaven 40, 4600 Køge"
"Ølsemaglevej 2B, 4600 Køge"
"Egedalen 28, Strøby Egede, 4600 Køge"
"Egedalen 30, Strøby Egede, 4600 Køge"
"Præsteengen 6, Valløby, 4600 Køge"
"Præsteengen 10, Valløby, 4600 Køge"
"Valløby Bygade 11C, Valløby, 4600 Køge"
"Johannevej 21, 4600 Køge"
"Nørre Boulevard 34, 2., 4600 Køge"
"Åhavnen 37, 4600 Køge"
"Åhavnen 38, 4600 Køge"
"Åhavnen 39, 4600 Køge"
"Åhavnen 40, 4600 Køge"
"Åhavnen 41, 4600 Køge"
"Åhavnen 42, 4600 Køge"
"Åhavnen 43, 4600 Køge"
"Åhavnen 44, 4600 Køge"
"Åhavnen 46, 4600 Køge"
"Åhavnen 47, 4600 Køge"
"Åhavnen 48, 4600 Køge"
"Åhavnen 49, 4600 Køge"
"Åhavnen 55, 4600 Køge"
"Åhavnen 59, 4600 Køge"
"Åhavnen 60, 4600 Køge"
"Åhavnen 61, 4600 Køge"
"Åhavnen 62, 4600 Køge"
"Åhavnen 64, 4600 Køge"
"Åhavnen 66, 4600 Køge"
"Åhavnen 67, 4600 Køge"
"Åhavnen 68, 4600 Køge"
"Åhavnen 69, 4600 Køge"
"Åhavnen 70, 4600 Køge"
"Åhavnen 71, 4600 Køge"
"Åhavnen 72, 4600 Køge"
"Åhavnen 73, 4600 Køge"
"Valløby Bygade 12C, Valløby, 4600 Køge"
"Åhavnen 74, 4600 Køge"
"Åhavnen 75, 4600 Køge"
"Åhavnen 76, 4600 Køge"
"Åhavnen 77, 4600 Køge"
"Åhavnen 78, 4600 Køge"
"Åhavnen 79, 4600 Køge"
"Åhavnen 80, 4600 Køge"
"Åhavnen 81, 4600 Køge"
"Åhavnen 82, 4600 Køge"
"Åhavnen 83, 4600 Køge"
"Åhavnen 84, 4600 Køge"
"Åhavnen 85, 4600 Køge"
"Åhavnen 86, 4600 Køge"
"Åhavnen 87, 4600 Køge"
"Åhavnen 88, 4600 Køge"
"Egehøjen 8, Strøby Egede, 4600 Køge"
"Bækstrædet 4, 4600 Køge"
"Humlekærgård 3, 4600 Køge"
"Strandvejen 87, 4600 Køge"
"Magnoliavej 13, Strøby Egede, 4600 Køge"
"Stevnsvej 6B, Strøby Egede, 4600 Køge"
"Brogade 17B, 1. th, 4600 Køge"
"Brogade 17B, 1. tv, 4600 Køge"
"Brogade 17B, 2., 4600 Køge"
"Glæisersvej 42A, 4600 Køge"
"Glæisersvej 42B, 4600 Køge"
"Glæisersvej 42C, 1. mf, 4600 Køge"
"Glæisersvej 42C, 1. tv, 4600 Køge"
"Glæisersvej 42C, st. tv, 4600 Køge"
"Glæisersvej 42C, st. th, 4600 Køge"
"Glæisersvej 42C, st. mf, 4600 Køge"
